"GEO_ID","id"
"NAME","Geographic Area Name"
"B25008_001E","Estimate!!Total"
"B25008_001M","Margin of Error!!Total"
"B25008_002E","Estimate!!Total!!Owner occupied"
"B25008_002M","Margin of Error!!Total!!Owner occupied"
"B25008_003E","Estimate!!Total!!Renter occupied"
"B25008_003M","Margin of Error!!Total!!Renter occupied"
