muni_id,muni_name,popest_2010,popest_2019,emp_vltl,unemp_avg_rate,unemp_rate_change,jobs_tot,jobs_nocolg,jobs_lowinc_pc,jobs_nonwhite_pc,inc_pc,inc_pc_me,hu_tot,hu_tot_me,hu_oo,hu_oo_me,hu_ro,hu_ro_me,hu_crowding,covid_tot_cases,covid_pc_pv,covid_rel_change
"2568155000000",Sturbridge,9254,9597,66.5852646777528,14,-5.5,4853,969,45.4358128992376,9.29322068823408,43736,4639,9521,23,7841,543,1680,545,,60,0.01,Higher
"2568260000000",Sudbury,17712,19655,52.0202405479147,9.06,-1.4,8735,1292,30.39496279336,14.6307956496852,75699,4152,18760,135,17835,306,925,295,0.19,231,0.0067,Higher
"2568400000000",Sunderland,3690,3629,45.0881497689582,10.14,-3.2,1741,339,53.130384836301,14.5893164847789,37502,11064,3601,33,1665,202,1936,202,,23,0.0053,Lower
"2568610000000",Sutton,8984,9582,56.9723726095338,11.86,-4.4,5045,1000,42.8344895936571,5.49058473736373,46409,3397,9375,19,9079,165,296,162,,83,0.0147,Higher
"2568645000000",Swampscott,13817,15298,66.2129898298712,13.22,-4.4,6747,1120,39.8695716614792,10.4046242774566,57974,5088,14604,61,11911,637,2693,637,,176,0.0034,Higher
"2568750000000",Swansea,15872,16834,51.6905603975861,14.46,-9.4,8969,1830,46.9729066785595,6.16568179284201,36032,2160,16269,99,14498,481,1771,469,,188,0.0119,Higher
"2569170000000",Taunton,55851,57464,107.786922325521,19.7,-7.3,30745,5891,50.8472922426411,17.6776711660433,30925,1438,56251,190,37272,1432,18979,1424,1.86,1189,0.0154,Higher
"2569275000000",Templeton,8001,8138,64.5277163704891,14.3,-6.6,3860,791,51.2176165803109,6.32124352331606,35670,4324,7992,145,6659,500,1333,462,,129,0.0022,No Change
"2569415000000",Tewksbury,29201,31178,67.7779248425412,15.18,-6.7,16474,2576,40.9615151147262,11.0962729148962,43453,2658,30341,303,27198,588,3143,496,0.51,683,0.0087,Lower
"2569940000000",Tisbury,3958,4096,42.8408305738126,18.86,-20.1,1915,405,48.3028720626632,12.0104438642298,39482,7477,4061,69,2953,368,1108,366,,17,0.0039,Higher
"2570045000000",Tolland,490,508,36.2577793323031,7.9,-1.7,251,61,46.2151394422311,7.96812749003984,44731,6650,609,116,512,95,97,71,,3,0,No Change
"2570150000000",Topsfield,6100,6641,53.8777712647456,9.96,-2.1,3082,546,39.0330953926022,6.3919532770928,50449,5417,6382,105,5981,343,401,331,,125,0.0042,Higher
"2570360000000",Townsend,8974,9506,69.1191985783201,13.62,-5.3,5203,863,42.2640784162983,7.14972131462618,40319,3554,9450,37,8341,272,1109,270,,47,0.0086,Higher
"2570605000000",Truro,2006,2008,33.0541317451589,16.44,-17.6,634,131,57.4132492113565,13.7223974763407,36250,7517,1250,227,1065,212,185,144,,13,0.0175,No Change
"2571025000000",Tyngsborough,11414,12527,61.1022196602511,13.28,-5.6,7124,1185,39.528354856822,13.307130825379,46434,4826,12253,28,10828,481,1425,481,,151,0.0201,Higher
"2571095000000",Tyringham,324,312,66.6742665955622,7.76,-1.1,132,25,59.0909090909091,20.4545454545455,56162,9830,415,63,373,58,42,24,,3,0,No Change
"2571480000000",Upton,7554,8065,61.5966402360143,12.34,-3.8,4286,740,35.347643490434,8.77274848343444,50274,5461,7808,36,6946,314,862,320,,37,0.0058,No Change
"2571620000000",Uxbridge,13469,14195,62.5661948688933,13.78,-6.2,6944,1323,45.4781105990783,6.6676267281106,38522,2613,13839,30,11181,653,2658,650,,111,0.0153,Lower
"2572215000000",Wakefield,25183,27045,71.8675113661598,13.92,-4.8,14794,2419,37.4678923888063,11.7615249425443,48020,3044,26540,158,21304,637,5236,621,1.52,395,0.0157,Higher
"2572390000000",Wales,1844,1874,102.101502077177,15.92,-5.5,892,190,51.2331838565022,4.59641255605381,27669,3113,2117,231,1717,196,400,152,,5,0,No Change
"2572495000000",Walpole,24140,25200,66.1086789180283,13.94,-5,13826,2241,37.8634456820483,13.5903370461449,51776,3345,24584,273,21114,780,3470,732,1.45,324,0.0124,Lower
"2572600000000",Waltham,60889,62495,65.3524117213181,12.26,-3.3,33045,4993,42.015433499773,31.8474807081253,41107,1408,55377,523,29396,1152,25981,1195,3,1520,0.0067,Higher
"2572880000000",Ware,9868,9711,92.8988832461124,15.36,-4.3,4513,934,52.4927985818746,9.08486594283182,30131,2379,9832,20,7006,470,2826,475,,47,0.003,Higher
"2572985000000",Wareham,21870,22745,76.0844223373112,17.96,-9.1,11887,2253,51.2829141078489,10.7848910574577,33011,1974,22343,129,16623,949,5720,943,0.32,266,0.0228,Higher
"2573090000000",Warren,5140,5222,68.0552165576402,14.2,-6.3,1890,382,50,8.62433862433863,30281,4193,5205,16,4431,338,774,341,,32,0.0044,Lower
"2573265000000",Warwick,780,769,55.2468445222277,8.44,-2.1,433,98,57.5057736720554,5.54272517321016,30752,2872,781,96,737,83,44,46,,0,0,No Change
"2573335000000",Washington,542,541,101.277965486481,11.08,-2.5,306,62,55.2287581699346,6.86274509803922,40238,4872,543,85,534,85,9,10,,3,0,No Change
"2573440000000",Watertown,32080,35939,75.7611792945813,12.24,-2.6,19426,2841,37.2902295892103,20.8483475754144,54143,2165,34790,114,18254,1045,16536,1052,0.88,471,0.0072,Higher
"2573790000000",Wayland,12977,13835,50.9640690144962,9.36,-1.6,6759,920,30.5962420476402,19.1892291759136,81107,4955,13665,40,12859,235,806,232,,124,0.0016,Lower
"2573895000000",Webster,16785,16949,108.981249872126,18.34,-5.8,9196,1799,52.6750761200522,15.9634623749456,30919,2404,16641,123,10067,544,6574,541,,343,0.0326,Higher
"2574175000000",Wellesley,28046,28670,37.5637811399539,7.62,-0.3,11754,1752,30.4151778118087,21.6522035051897,83163,4014,24618,378,21263,533,3355,501,0.23,299,0.001,Higher
"2574385000000",Wellfleet,2750,2724,38.8918380625342,15.68,-14.4,1069,219,59.6819457436857,7.20299345182413,38179,7093,3458,225,2900,362,558,334,,8,0,No Change
"2574525000000",Wendell,846,878,82.2122843543119,15.02,-4.3,485,108,62.0618556701031,10.7216494845361,32597,8853,846,105,686,103,160,53,,0,0,No Change
"2574595000000",Wenham,4884,5278,39.3878060565304,9.14,-1.9,1952,320,36.3729508196721,9.78483606557377,48324,7805,3654,185,3463,186,191,89,,32,0,Lower
"2575155000000",West Boylston,7727,8077,69.1530292718137,14.54,-5.4,3912,700,41.8967280163599,11.4263803680982,29911,4338,5204,697,4511,631,693,265,,75,0.0117,Higher
"2575260000000",West Bridgewater,6937,7281,74.5008784266258,16.6,-7.6,4038,727,45.789995047053,9.16295195641407,37417,2815,7021,114,6022,369,999,366,,162,0.0061,Higher
"2575400000000",West Brookfield,3655,3727,62.9256987822953,13.6,-6.5,1955,419,45.8823529411765,7.67263427109974,37711,4494,3587,106,2662,277,925,285,,26,0,No Change
"2577150000000",West Newbury,4251,4714,45.669874236359,10.54,-3.9,1984,358,37.0967741935484,5.69556451612903,59600,8275,4571,38,4232,252,339,249,,22,0.0129,Higher
"2577890000000",West Springfield,28357,28517,94.2561546845193,17.4,-6.1,14642,2841,55.8325365387242,22.3808222920366,31135,1991,28523,58,18764,889,9759,884,2.97,477,0.0146,No Change
"2577990000000",West Stockbridge,1297,1257,59.3186408032916,11.58,-4.6,540,107,58.5185185185185,3.88888888888889,45199,6478,1128,139,994,134,134,81,,8,0,No Change
"2578235000000",West Tisbury,2751,2904,22.0986845464286,8.58,-9,1041,201,50.1440922190202,9.41402497598463,51035,7002,2674,296,2364,337,310,206,,16,0,Lower
"2575015000000",Westborough,18290,19144,56.4660193725577,10.28,-3,9312,1422,37.7469931271478,30.0365120274914,50853,2870,18467,190,12698,594,5769,602,5.24,413,0.0108,Higher
"2576030000000",Westfield,41118,41204,76.378185978653,14.62,-5.2,19127,3859,51.9213677001098,14.1579965493805,31186,1484,38241,303,27042,929,11199,883,1.54,580,0.0146,Higher
"2576135000000",Westford,22049,24817,53.5540508384553,10.26,-2.9,12535,1878,33.5939369764659,20.0079776625449,53692,2218,24183,38,21583,519,2600,516,1.16,226,0.0147,Higher
"2576380000000",Westhampton,1603,1637,60.9947143574047,11.48,-3.6,1060,223,47.7358490566038,9.43396226415094,40509,2819,1825,112,1704,117,121,55,,10,0,No Change
"2577010000000",Westminster,7280,7997,73.5432160549854,14.12,-5.1,3639,725,48.4473756526518,6.4028579280022,42700,4777,7665,31,7062,301,603,301,,43,0.0066,Lower
"2577255000000",Weston,11365,12124,49.4725629215111,7.84,-0.3,4601,666,29.4935883503586,22.0821560530319,87978,9290,11238,162,9968,451,1270,455,,140,0.0028,No Change
"2577570000000",Westport,15546,16034,62.5621371861307,16.34,-9.4,7577,1560,51.484756499934,5.37151907087238,40788,2961,15842,29,13637,540,2205,536,,152,0.0222,Higher
"2578690000000",Westwood,14655,16400,59.8355983618372,10.6,-1.8,7737,1197,33.1911593640946,13.5323768902675,71235,5985,15834,27,14616,262,1218,262,,181,0.0041,Lower
"2578972000000",Weymouth,53828,57746,82.0405963543905,17.32,-7.1,30245,5052,42.721110927426,16.9383369151926,40718,1689,55890,159,40227,1236,15663,1250,1.47,952,0.0265,Higher
"2579110000000",Whately,1504,1567,31.2345157166008,6.1,-1.7,690,127,50.7246376811594,6.3768115942029,52459,16345,1428,208,1268,183,160,107,,9,0.0123,No Change
"2579530000000",Whitman,14511,15216,67.0795531051008,16.8,-8.4,8165,1564,46.4911206368647,7.6056338028169,36032,2316,14894,54,11265,656,3629,646,,237,0.0167,Higher
"2579740000000",Wilbraham,14226,14689,65.4439355961364,12.84,-4.5,6943,1296,43.5690623649719,9.93806711796054,48240,4474,14239,151,13014,403,1225,346,,281,0.0085,Higher
"2579915000000",Williamsburg,2486,2466,81.8653861189762,15.32,-5.1,1322,297,53.3282904689864,8.24508320726173,47779,5705,2513,200,1879,224,634,170,,17,0,No Change
"2579985000000",Williamstown,7785,7434,53.2791422400335,8.84,-2.3,2674,540,45.8115183246073,12.715033657442,34804,3447,5040,306,3891,345,1149,282,,97,0.0003,Lower
"2580230000000",Wilmington,22406,23445,63.1638675300049,14.16,-6.2,13434,2214,38.7003126395712,11.3369063570046,47330,2838,23378,137,20567,537,2811,520,0.82,400,0.0143,Higher
"2580405000000",Winchendon,10360,10905,87.2031688238667,14.62,-4.8,4921,1014,52.3877260719366,9.65250965250965,31098,3289,10539,80,8115,501,2424,498,,98,0.0158,Higher
"2580510000000",Winchester,21475,22799,56.886557025655,9.18,-1.3,11098,1656,30.0594701748063,20.8866462425662,77433,3558,22398,131,19822,435,2576,413,1.05,152,0.0059,Higher
"2580685000000",Windsor,898,866,61.0505071699058,11.28,-4.5,604,141,53.6423841059603,10.2649006622517,48898,8171,842,93,842,93,0,12,,3,0,Lower
"2581005000000",Winthrop,17538,18544,103.874846577276,18.44,-5.5,10156,1784,43.914927136668,17.6053564395431,41953,3265,18470,49,11532,785,6938,797,,442,0.0146,Higher
"2581035000000",Woburn,39063,40228,78.3119886734249,15.46,-5.5,22939,3654,41.6016391298662,21.6007672522778,41743,2005,39974,116,25464,1205,14510,1217,3.07,840,0.0214,Higher
"2582000000000",Worcester,181759,185428,104.731835394873,17.5,-3.3,85156,14995,59.4250551928226,43.1760533608906,26919,839,171412,732,79264,2247,92148,2177,2.67,6673,0.0094,Higher
"2582175000000",Worthington,1159,1175,96.1479241513166,11.6,-2.8,574,138,52.6132404181185,5.92334494773519,41214,4294,1258,143,1170,140,88,43,,3,0,Lower
"2582315000000",Wrentham,11061,12023,71.5392410518361,13.18,-4.7,6208,1121,41.1565721649485,7.37757731958763,50810,3258,11456,150,10267,300,1189,294,,260,0.0109,Higher
"2582525000000",Yarmouth,23797,23203,62.4207829913438,18.54,-12.1,11073,2234,54.7006231373611,12.8510792016617,37601,1737,23233,127,18763,705,4470,720,0.98,147,0.0045,Lower
